Company Name,Ticker,Next EPS Report Date ,# of Analysts in Q0 Consensus,Avg Volume,Q0 Consensus Est. (last completed fiscal Qtr),Market Cap ,Optionable,Earnings ESP,Zacks Rank
"MYR Group, Inc.","MYRG","20180308","4","107224.55",".33","588.85","YES","","1"
"Nanometrics Incorporated","NANO","20180206","3","178027.09",".46","650.62","YES","","3"
"Nordic American Tankers Limited","NAT","20180205","5","2483219.5","-.12","373.38","YES","-33.33","4"
"National Instruments Corporation","NATI","20180130","3","518942",".34","5793.31","YES","","3"
"Navistar International Corporation","NAV","20180306","7","904807",".65","4469.58","YES","0","4"
"Navient Corporation","NAVI","20180123","4","3004587.5",".42","3650.61","YES","2.38","2"
"Neurocrine Biosciences, Inc.","NBIX","20180213","11","890276.69",".1","7200.68","YES","40",""
"Noble Energy Inc.","NBL","20180212","13","3928695.25",".02","15683.34","YES","50","3"
"Noble Midstream Partners LP","NBLX","20180219","4","112814.4","1.17","1313.59","NO","-2.56","4"
"Nabors Industries Ltd.","NBR","20180228","11","11276751","-.32","2601.63","YES","","3"
"Nabriva Therapeutics AG","NBRV","20180323","4","250520.16","-.56","226.75","YES","","3"
"Navigant Consulting, Inc.","NCI","20180215","3","294042.31",".4","907.38","YES","","3"
"Norwegian Cruise Line Holdings Ltd.","NCLH","20180228","9","1613960.25",".63","13216.64","YES","","2"
"National CineMedia, Inc.","NCMI","20180222","4","684695.13",".19","513.4","YES","","4"
"NCR Corporation","NCR","20180208","4","1221181.5",".86","4366.53","YES","","3"
"NCI Building Systems, Inc.","NCS","20180306","3","545342.56",".27","1264.39","YES","","2"
"NCS Multistage Holdings, Inc.","NCSM","20180212","3","117755.4","-.05","851.89","NO","","5"
"Nasdaq, Inc.","NDAQ","20180131","6","767869.19","1","13535.78","YES","0","2"
"Noodles & Company","NDLS","20180307","5","89131.4","-.01","227.68","YES","","3"
"Nordson Corporation","NDSN","20180219","8","239233","1.32","8572.97","YES","0","3"
"Noble Corporation","NE","20180221","11","8181543","-.33","1413.46","YES","0","3"
"NextEra Energy, Inc.","NEE","20180126","6","1646767.25","1.3","70710.23","YES","-.77","4"
"Newmont Mining Corporation","NEM","20180222","5","3741326.75",".36","21221.44","YES","","2"
"NeoGenomics, Inc.","NEO","20180228","5","248852.59",".04","667.4","YES","","5"
"Neogen Corporation","NEOG","20180320","6","172271.39",".26","3046.04","YES","0","1"
"NextEra Energy Partners, LP","NEP","20180126","5","269360.59",".26","2186.86","YES","","3"
"New Relic, Inc.","NEWR","20180206","8","453649.31","-.08","3325.19","YES","","3"
"Netflix, Inc.","NFLX","20180122","17","5738209.5",".41","95733.08","YES","-4.88","3"
"Newfield Exploration Company","NFX","20180220","13","2139018.25",".63","6936.76","YES","-11.11","1"
"New Gold Inc.","NGD","20180221","5","3869050.75","0","1958.76","YES","","3"
"National General Holdings Corp","NGHC","20180226","3","234060.2",".21","2182.49","YES","4.76","2"
"NGL ENERGY PARTNERS LP","NGL","20180206","3","1465521.75",".2","2000.52","YES","","5"
"Natural Gas Services Group, Inc.","NGS","20180308","3","27569.25",".07","372.7","YES","","3"
"Natural Grocers by Vitamin Cottage, Inc.","NGVC","20180201","3","107311.65",".07","186.16","YES","","3"
"Ingevity Corporation","NGVT","20180228","5","223365.84",".36","3139.67","YES","","3"
"National Health Investors, Inc.","NHI","20180216","6","216073.55","1.33","2896.44","YES","2.26","3"
"NiSource, Inc","NI","20180228","3","2653171.5",".32","8106.63","YES","3.13","3"
"Nice Systems Ltd.","NICE","20180215","4","106299.95","1.32","5648.88","YES","","3"
"Nightstar Therapeutics PLC Sponsored ADR","NITE","","3","28253.8","-.19","402.11","NO","","3"
"NewJersey Resources Corporation","NJR","20180214","3","550772.94",".59","3428.64","YES","","4"
"Nike, Inc.","NKE","20180320","17","8364862.5",".39","105214.14","YES","-3.7","3"
"Nektar Therapeutics","NKTR","20180307","4","1967906","-.35","11337.7","YES","","4"
"NewLink Genetics Corporation","NLNK","20180227","5","814569.81","-.69","318.12","YES","","3"
"Nautilus Group, Inc. (The)","NLS","20180220","4","373809.19",".31","406.87","YES","","2"
"Nielsen N.V.","NLSN","20180208","5","3552777.25",".79","13342.05","YES","","3"
"Annaly Capital Management Inc","NLY","20180221","3","7478121.5",".29","13102.84","YES","","3"
"New Mountain Finance Corporation","NMFC","20180227","4","332709.25",".34","1023.37","YES","","3"
"Navios Maritime Partners LP","NMM","20180213","4","1115715.88",".02","360.63","YES","50","4"
"NN, Inc.","NNBR","20180307","4","83071.9",".29","772.04","YES","","4"
"National Retail Properties","NNN","20180212","9","688169",".64","6074.52","YES","-1.56","3"
"Northrop Grumman Corporation","NOC","20180125","9","594794.94","2.75","54860.68","YES","","2"
"Northern Oil and Gas, Inc.","NOG","20180307","4","2070406.63",".03","194.45","YES","33.33","3"
"Nokia Corporation","NOK","20180201","4","10205598",".1","28437.9","YES","","3"
"National Oilwell Varco, Inc.","NOV","20180205","13","2531147.5","-.04","14874.45","YES","","3"
"ServiceNow, Inc.","NOW","20180131","14","1276154.75",".35","23865.41","YES","","3"
"EnPro Industries","NPO","20180221","3","109391",".65","1982.46","YES","10.77","2"
"NeoPhotonics Corporation","NPTN","20180313","7","533670.88","-.18","293.99","YES","","5"
"Newpark Resources, Inc.","NR","20180208","4","342958.16",".03","845.49","YES","","3"
"New Residential Investment Corp.","NRZ","20180220","4","2076023.25",".51","5452.58","YES","0","4"
"Nustar Energy L.P.","NS","20180130","4","434778.69",".17","3183.59","YES","5.88","3"
"National Storage Affiliates Trust","NSA","20180226","7","587045.63",".32","1282.98","YES","-3.13","3"
"Norfolk Souther Corporation","NSC","20180124","9","1156570.38","1.56","44164.23","YES","-.64","3"
"Insight Enterprises, Inc.","NSIT","20180214","3","200638.55",".79","1381.93","YES","","3"
"Insperity, Inc.","NSP","20180212","5","191993.16",".46","2461.56","YES","","3"
"NanoString Technologies, Inc.","NSTG","20180307","5","160705.41","-.44","211.19","YES","-2.27","3"
"NetApp, Inc.","NTAP","20180221","10","2024529.25",".69","16746.53","YES","","1"
"NetScout Systems, Inc.","NTCT","20180130","4","1180192.75",".7","2400.73","YES","-1.72","5"
"National Bank of Canada","NTIOF","20180307","3","10867.5","1.08","17411.03","NO","","3"
"Intellia Therapeutics, Inc.","NTLA","20180313","4","826203.31","-.43","774.04","YES","","3"
"Nutanix Inc.","NTNX","20180301","8","2860403.5","-.27","6070.44","YES","-6.38","2"
"Natera, Inc.","NTRA","20180306","3","97074.9","-.43","547.37","YES","","3"
"NutriSystem Inc","NTRI","20180226","4","315169.19",".41","1577.05","YES","","3"
"Northern Trust Corporation","NTRS","20180124","8","820489.63","1.3","24393.18","YES","0","1"
"Nuance Communications, Inc.","NUAN","20180206","6","2528156.25",".22","4960.85","YES","","2"
"Nucor Corporation","NUE","20180130","8","2622251.25",".6","21942.63","YES","-5.17","1"
"Nu Skin Enterprises, Inc.","NUS","20180215","3","294419.5","1.16","3615.48","YES","","1"
"NuVasive, Inc.","NUVA","20180208","9","847505.81",".56","2718.12","YES","0","3"
"Novavax, Inc.","NVAX","20180226","4","12671131","-.15","520.4","YES","0","4"
"NovoCure Limited","NVCR","20180222","3","697812.44","-.14","1939.2","YES","","3"
"NVIDIA Corporation","NVDA","20180208","11","10727636",".95","135125.88","YES","","3"
"Navigator Holdings Ltd.","NVGS","20180307","5","141851.55","-.01","596.97","YES","-500","4"
"NVR, Inc.","NVR","20180124","3","24191.6","48.95","13307.42","NO","","2"
"Nevro Corp.","NVRO","20180222","7","410135.25","-.17","2327.58","YES","-17.65","3"
"Novartis AG","NVS","20180124","3","851980.88","1.16","204978.81","YES","","3"
"Invitae Corporation","NVTA","20180212","4","435278.25","-.57","401.32","YES","3.57","4"
"Newell Brands Inc.","NWL","20180205","11","4302196",".75","15810.63","YES","4","2"
"News Corporation","NWSA","20180208","4","2246592.5",".19","9991.95","YES","","3"
"NXP Semiconductors N.V.","NXPI","20180207","7","1851149.38","1.82","40541.09","YES","","3"
"NexPoint Residential Trust, Inc.","NXRT","20180313","3","112092",".37","565.64","YES","","3"
"Nexstar Broadcasting Group, Inc.","NXST","20180227","6","641964.25","1.42","3620.22","YES","3.52","3"
"New York Community Bancorp, Inc.","NYCB","20180131","9","3667513.25",".17","6670.71","YES","5.88","2"
"NRG Yield, Inc.","NYLD","20180227","4","540482.75",".19","3455.37","YES","26.32","5"
"Realty Income Corporation","O","20180228","10","1636182.25",".67","14855.71","YES","-2.99","3"
"Orbital ATK, Inc.","OA","20180314","4","389374.59","1.88","7615.13","YES","","3"
"Oaktree Capital Group, LLC","OAK","20180206","7","247826.5",".57","6943.76","YES","-3.51","4"
"Oasis Petroleum Inc.","OAS","20180228","12","9392056",".04","2496.53","YES","0","3"
"ObsEva SA","OBSV","20180213","3","27702.1","-.53","360.17","NO","-5.66","3"
"Owens Corning Inc","OC","20180214","10","737108.25","1.02","10670.24","YES","2.94","2"
"OceanFirst Financial Corp.","OCFC","20180125","3","158915.95",".45","915.23","YES","","3"
"Oclaro, Inc.","OCLR","20180130","9","3495928.5",".13","1174.72","YES","","3"
"Oaktree Specialty Lending Corp.","OCSL","20180208","3","899784",".1","703.4","YES","","5"
"Old Dominion Freight Line, Inc.","ODFL","20180208","10","526833.19","1.11","11745.17","YES","0","1"
"Office Depot, Inc.","ODP","20180307","4","3789468.75",".08","1852.86","YES","","3"
"Orion Energy Systems, Inc.","OESX","20180214","3","129928.3","-.06","24.58","YES","","3"
"Corporate Office Properties Trust","OFC","20180208","9","664737.63",".54","2704.38","YES","0","5"
"ONE Gas, Inc.","OGS","20180228","4","203869.45",".83","3602.2","YES","1.2","3"
"Omega Healthcare Investors, Inc.","OHI","20180214","3","1972445.25",".76","5173.67","YES","","3"
"Owens-Illinois, Inc.","OI","20180206","6","1208846",".54","3657.52","YES","","3"
"Oceaneering International, Inc.","OII","20180214","10","1179752","-.09","2205.38","YES","-33.33","4"
"Oil States International, Inc.","OIS","20180221","8","671362.75","-.23","1739.58","YES","0","3"
"ONEOK, Inc.","OKE","20180226","7","2947341.25",".51","24082.63","YES","1.96","3"
"Okta, Inc.","OKTA","20180307","5","1238475.25","-.24","2751.92","YES","","3"
"Universal Display Corporation","OLED","20180222","3","688395.94",".82","9248.26","YES","","3"
"Ollie's Bargain Outlet Holdings, Inc.","OLLI","20180327","9","585592.75",".21","3421.96","YES","0","1"
"Olin Corporation","OLN","20180130","4","1423945.63",".42","6336.64","YES","7.14","2"
"OM Asset Management PLC","OMAM","20180201","3","452366.19",".4","2012.26","NO","","2"
"Omnicom Group Inc.","OMC","20180206","4","1761910.63","1.55","17502.06","YES","","4"
"Omnicell, Inc.","OMCL","20180221","4","183862.55",".52","1925.05","YES","","4"
"OncoMed Pharmaceuticals, Inc.","OMED","20180314","5","232671.45","-.31","116.22","YES","","3"
"OneMain Holdings, Inc.","OMF","20180212","7","1274966.5","1.05","4612.73","YES",".95","3"
"Owens & Minor, Inc.","OMI","20180213","4","1029935.81",".5","1265.43","YES","2","3"
"Oasis Midstream Partners LP","OMP","20180206","3","70744.1",".41","508.13","NO","7.32","3"
"ON Semiconductor Corporation","ON","20180212","12","4453980.5",".37","9997.5","YES","0","3"
"Old National Bancorp","ONB","20180123","3","611312.63",".25","2493.62","YES","","2"
"Spark Therapeutics, Inc.","ONCE","20180228","9","1021602.88","-1.73","1948.68","YES","-9.25","3"
"On Deck Capital, Inc.","ONDK","20180215","6","460804",".05","394.68","YES","","3"
"Ooma, Inc.","OOMA","20180306","4","57010.7","-.04","224.05","YES","0","3"
"Opko Health, Inc.","OPK","20180307","3","3142538.5","-.08","2785.84","YES","","3"
"Osisko Gold Royalties Ltd","OR","20180321","4","515097.16",".03","1870.16","YES","","3"
"Ormat Technologies, Inc.","ORA","20180227","3","163381.7",".55","3342.94","YES","","3"
"ORBCOMM Inc.","ORBC","20180227","4","647667.44","-.1","800.88","YES","","3"
"Orbotech Ltd.","ORBK","20180214","4","214454.09",".94","2447.42","YES","","3"
"Oracle Corporation","ORCL","20180321","14","17079084",".68","204951.69","YES","0","3"
"Ocean Rig UDW Inc.","ORIG","20180228","3","179233.05",".33","2550.72","YES","",""
"O'Reilly Automotive, Inc.","ORLY","20180207","10","853021","2.78","21988.24","YES","1.44","3"
"Oshkosh Corporation","OSK","20180125","8","453134.44",".53","6887.05","YES","-16.98","2"
"Otonomy, Inc.","OTIC","20180301","3","475228.5","-.67","177.47","YES","","3"
"OvaScience Inc.","OVAS","20180301","3","957565.5","-.29","42.13","YES","","3"
"Oxford Immunotec Global PLC","OXFD","20180227","3","234497.66","-.36","312.73","NO","","4"
"Oxford Industries, Inc.","OXM","20180322","4","132353.2",".11","1385.02","YES","-1.06","2"
"Occidental Petroleum Corporation","OXY","20180213","9","3146398.25",".33","58564.2","YES","18.18","1"
"Och-Ziff Capital Management Group LLC","OZM","20180221","3","998732.69",".23","1427.39","YES","43.48","4"
"Bank of the Ozarks","OZRK","20180116","6","1159963.25",".75","6778.23","YES","","2"
"Pandora Media, Inc.","P","","16","8006632","-.05","1141.91","YES","-16.67","4"
"Plains All American Pipeline, L.P.","PAA","20180206","10","2960171.5",".4","17375.53","YES","-2.5","3"
"Pan American Silver Corp.","PAAS","20180221","4","1255769.75",".17","2551.91","YES","52.94","2"
"Pacific Biosciences of California, Inc.","PACB","20180201","4","1166849.5","-.19","316.2","YES","5.26","4"
"PacWest Bancorp","PACW","20180118","7","817677.06",".75","6834.9","YES","-4","3"
"Penske Automotive Group, Inc.","PAG","20180206","6","374698.66","1","4572.29","YES","","2"
"Plains Group Holdings, L.P.","PAGP","20180206","5","1163303.75",".4","3737.91","YES","5","4"
"Platform Specialty Products Corporation","PAH","20180227","4","5124553",".23","3347.55","YES","4.35","3"
"Phibro Animal Health Corporation","PAHC","20180205","3","104900.05",".39","1434.53","YES","","3"
"Palo Alto Networks, Inc.","PANW","20180227","16","770008.81",".68","14106.8","YES","","3"
"Patrick Industries, Inc.","PATK","20180215","4","149677.34",".73","1709.54","YES","1.37","2"
"Verifone Systems, Inc.","PAY","20180308","12","1204766.25",".43","2062.14","YES","0","5"
"Paycom Software, Inc.","PAYC","20180214","11","362819.84",".23","5170.93","YES","","3"
"Paychex, Inc.","PAYX","20180404","15","1899558.75",".59","24302.53","YES","0","3"
"Prosperity Bancshares, Inc.","PB","20180124","10","495996.56","1","5209.91","YES","0","2"
"Pembina Pipeline Corp.","PBA","20180222","3","427703.31",".42","17821.33","YES","","3"
"People's United Financial, Inc.","PBCT","20180118","6","2421162.5",".27","6744.99","YES","3.7","2"
"PBF Energy Inc.","PBF","20180215","3","1723976.75",".57","3864.46","YES","22.81","3"
"Prestige Brand Holdings, Inc.","PBH","20180201","5","475894.19",".69","2378.27","YES","","3"
"Potbelly Corporation","PBPB","20180213","4","154135.09",".07","326.17","YES","14.29","3"
"Petroleo Brasileiro S.A.- Petrobras","PBR","20180320","3","12746854",".32","74810.2","YES","-6.25","2"
"Puma Biotechnology Inc","PBYI","20180307","4","537895.06","-2.02","3724.85","YES","0","4"
"PACCAR Inc.","PCAR","20180130","9","1630947.25","1.12","26863","YES","-3.57","3"
"Pacific Gas & Electric Co.","PCG","20180209","3","8258686.5",".72","22542.01","YES","-5.56","4"
"Potlatch Corporation","PCH","20180129","4","542720.5",".59","2093.5","YES","1.69","1"
"The Priceline Group Inc.","PCLN","20180226","13","335735.25","14.09","93609.14","YES","1.85","3"
"Pacira Pharmaceuticals, Inc.","PCRX","20180307","10","712846.56",".13","1683.66","YES","-128.57","4"
"Paylocity Holding Corporation","PCTY","20180201","12","208806.91",".12","2606.94","YES","","3"
"PDC Energy, Inc.","PDCE","20180227","10","698619.63",".15","3665.83","YES","-33.33","3"
"Patterson Companies, Inc.","PDCO","20180222","8","1401745.25",".54","3556.85","YES","3.85","4"
"PDF Solutions, Inc.","PDFS","20180212","3","140845.25",".11","500.94","YES","","3"
"Piedmont Office Realty Trust, Inc.","PDM","20180214","5","902359.81",".42","2782.05","YES","","4"
"Precision Drilling Corporation","PDS","20180208","7","2187126.75","-.08","1087.91","YES","-25","3"
"Parsley Energy, Inc.","PE","20180221","15","3318172.25",".19","9151.81","YES","-5.26","3"
"Pebblebrook Hotel Trust","PEB","20180222","7","464735.44",".43","2618.03","YES","","3"
"Peoples Bancorp Inc.","PEBO","20180123","3","31541.2",".48","629.78","YES","-4.17","2"
"Public Service Enterprise Group Incorporated","PEG","20180223","4","3180527.5",".57","25352.55","YES","-1.75","3"
"Pattern Energy Group Inc.","PEGI","20180307","4","834674.94",".08","2104.98","YES","112.5","4"
"Pennsylvania Real Estate Investment Trust","PEI","20180222","4","1283178",".49","817.94","YES","","4"
"Pacific Ethanol, Inc.","PEIX","20180307","5","294995.94","-.04","206.66","YES","","3"
"Penumbra, Inc.","PEN","20180227","3","270809.69","-.01","3093.54","YES","","4"
"Penn National Gaming, Inc.","PENN","20180201","6","1476493.88",".18","2927.24","YES","11.11","1"
"Pepsico, Inc.","PEP","20180213","8","3251991.25","1.3","166931.14","YES","-.77","3"
"Pioneer Energy Services Corp.","PES","20180216","6","1167510.5","-.11","310.88","YES","","2"
"PetIQ, Inc.","PETQ","20180205","5","236922.75",".07","505.01","NO","","3"
"PetMed Express, Inc.","PETS","20180122","3","472076.91",".36","1090.78","YES","","1"
"Aratana Therapeutics, Inc.","PETX","20180312","4","506064.31","-.23","224.46","YES","-17.39","3"
"Pinnacle Foods, Inc.","PF","20180222","8","1102440.25",".94","7039.8","YES","0","3"
"Preferred Bank","PFBC","20180123","4","74194.7",".89","836.12","YES","","2"
"Pfizer, Inc.","PFE","20180130","8","13293935",".56","217804.23","YES","","3"
"Principal Financial Group Inc","PFG","20180129","3","886845.31","1.37","21428.51","YES","0","2"
"Proofpoint, Inc.","PFPT","20180206","15","376264",".21","4443.6","YES","","3"
"PennyMac Financial Services, Inc.","PFSI","20180207","3","265566.66",".66","544.94","YES","","3"
"PFSweb, Inc.","PFSW","20180315","3","20662.6",".06","147.79","YES","","3"
